zone_id,zone_name,province,category,is_uganda_border,is_kinshasa,lat,lon,area_km2
D6IRek5MhIt,Masisi,Nord-Kivu,other,0,0,-1.5099999999999625,28.674659633319735,1133.9351899915512
VooLsNf0dDB,Musienene,Nord-Kivu,other,0,0,0.07251365900023643,28.353275181121674,2975.1534788166173
TnjfqDbxtwP,Mutwanga,Nord-Kivu,uganda_border,1,0,0.23113650600003838,29.720871630047824,1814.1962315648036
OZYtwRFkc5Z,Mweso,Nord-Kivu,other,0,0,-1.1674999999999613,28.878394444462277,864.0512433162618
WLVe6Xt7Xum,Nyiragongo,Nord-Kivu,uganda_border,1,0,-1.5418191864999358,29.240131762886833,402.98646257837913
zOOAshOz4Cz,Oicha,Nord-Kivu,uganda_border,1,0,0.7639879778753311,29.547044823759116,1351.9788989985202
Qnxdx1xJkXt,Pinga,Nord-Kivu,other,0,0,-0.6087523529999146,28.524964043711332,7777.260480785649
nXYw6kLqc0y,Rutshuru,Nord-Kivu,uganda_border,1,0,-1.2587695379999388,29.399990348827004,864.0690803763314
iQA2NO6cMnJ,Rwanguba,Nord-Kivu,uganda_border,1,0,-1.25,29.57,
xIs8yXFjb9Y,Walikale,Nord-Kivu,other,0,0,-1.2930854338332458,27.476035976014366,5987.649696288123
lIWxyiAegfN,Gbadolite,Nord-Ubangi,other,0,0,3.62328,20.5741,
N3EOJsjCXzW,Karawa,Nord-Ubangi,other,0,0,3.56992,20.77608,
PzrqwW6m5Wz,Wasolo,Nord-Ubangi,other,0,0,3.28695,20.6082,
Bou7OgEKEp1,Yakoma,Nord-Ubangi,other,0,0,4.050257738000056,22.2848351895393,2045.3282344511545
TJpOhLF2cXo,Dikungu,Sankuru,other,0,0,-3.3836,24.1062,
lDx3qiOSC3F,Djalo Ndjeka,Sankuru,other,0,0,-3.59162,23.7541,
IPDJ2AFLJ1q,Katako Kombe,Sankuru,other,0,0,-3.75181,23.76796,
fJD7wOwwi4M,Lodja,Sankuru,other,0,0,-3.33369,23.99751,
dw6cxRCsTBH,Wembo Nyama,Sankuru,other,0,0,-3.4764,23.88441,
aOghManYK5E,Bagira,Sud-Kivu,other,0,0,-2.4986082194999426,28.81834673660265,25.831741729818727
Th9eFA4VSq6,Bunyakiri,Sud-Kivu,other,0,0,-2.37496,28.80644,
roraCGWMUQ0,Fizi,Sud-Kivu,other,0,0,-4.478463213499936,29.055004164431928,4630.597370759218
CP7PqKqIADY,Haut Plateau,Sud-Kivu,other,0,0,-2.36743,28.70011,
jOxDAa0HM4a,Ibanda,Sud-Kivu,other,0,0,-2.52162691999996,28.857943221170768,19.204417294042987
Bxi65HPz420,Idjwi,Sud-Kivu,other,0,0,-2.73359,28.43476,
ZwpyTsxIyb3,Itombwe,Sud-Kivu,other,0,0,-3.6084880829999406,28.5945194273599,3312.2219741265403
zqUe1DuDMxH,Kabare,Sud-Kivu,other,0,0,-2.37141,28.79928,
bfFprcRp0YO,Kadutu,Sud-Kivu,other,0,0,-2.505461095499953,28.84567518095083,11.509697754653857
OWrtstWKEly,Kalehe,Sud-Kivu,other,0,0,-2.4806,28.79787,
euP5fSU9vky,Kalole,Sud-Kivu,other,0,0,-2.76182,28.70743,
iPD8STDLALc,Kalonge,Sud-Kivu,other,0,0,-2.64308,28.52495,
rv3KA7DrJCO,Kamituga,Sud-Kivu,other,0,0,-3.176614892999936,28.149927182671398,2225.5607278845273
TpB2SUwsDbn,Katana,Sud-Kivu,other,0,0,-2.36102,28.56525,
a2dADiJAGrT,Kaziba,Sud-Kivu,other,0,0,-2.66343,28.64888,
