zone_id,zone_name,province,prov_n,name_n,match_score,match_method,matched
fWrUdkX9JEv,Seke Banza,Kongo Central,kongo central,seke banza,1.0,exact,True
hniXpSX7Zrq,Tshela,Kongo Central,kongo central,tshela,1.0,exact,True
ZRDAZVZ4HMV,Vaku,Kongo Central,kongo central,vaku,1.0,exact,True
tUhIQ4MVPVI,Boko,Kwango,kwango,boko,1.0,exact,True
JkaDYyGpdPX,Kahemba,Kwango,kwango,kahemba,1.0,exact,True
eIpu2GCPTIP,Kasongo Lunda,Kwango,kwango,kasongo lunda,1.0,exact,True
Qx104OFTrS6,Kenge,Kwango,kwango,kenge,1.0,exact,True
lJaJ763sqNI,Kimbao,Kwango,kwango,kimbao,0.8333333333333334,fuzzy,True
ni4XTmpzmVX,Kisanji,Kwango,kwango,kisanji,0.9333333333333333,fuzzy,True
c66ur6Nda04,Kitenda,Kwango,kwango,kitenda,1.0,exact,True
Kl436vOuc9s,Panzi,Kwango,kwango,panzi,1.0,exact,True
Otc087GDtkQ,Popokabaka,Kwango,kwango,popokabaka,1.0,exact,True
xUfv1fcnAmb,Wamba Lwadi,Kwango,kwango,wamba lwadi,0.9090909090909091,fuzzy,True
k06WV7FTN9D,Bagata,Kwilu,kwilu,bagata,1.0,exact,True
KJPFKwgcqyd,Bandundu,Kwilu,kwilu,bandundu,1.0,exact,True
e6Wpbl5nqcD,Bulungu,Kwilu,kwilu,bulungu,1.0,exact,True
IgSLfQbGSnF,Djuma,Kwilu,kwilu,djuma,1.0,exact,True
GuAIPcinFIj,Gungu,Kwilu,kwilu,gungu,1.0,exact,True
riGgtQ9beB5,Idiofa,Kwilu,kwilu,idiofa,1.0,exact,True
jSLnBqCXCzW,Ipamu,Kwilu,kwilu,ipamu,1.0,exact,True
DrEgd3k7YFu,Kikongo,Kwilu,kwilu,kikongo,1.0,exact,True
GaaOhIJU3Bx,Kikwit Nord,Kwilu,kwilu,kikwit nord,1.0,exact,True
Y8Hlj8DpZHc,Kikwit Sud,Kwilu,kwilu,kikwit sud,1.0,exact,True
QVjGTE0nOen,Kingandu,Kwilu,kwilu,kingandu,1.0,exact,True
O3KmMLK10ru,Koshibanda,Kwilu,kwilu,koshibanda,1.0,exact,True
WziDY5wD1fX,Lusanga,Kwilu,kwilu,lusanga,1.0,exact,True
VYlgP4yyY7F,Masi Manimba,Kwilu,kwilu,masi manimba,1.0,exact,True
tPnKr9Z2phW,Mokala,Kwilu,kwilu,mokala,1.0,exact,True
JRaVxSGfJ9Z,Mosango,Kwilu,kwilu,mosango,1.0,exact,True
Tt1rjDuQtRh,Mukedi,Kwilu,kwilu,mukedi,1.0,exact,True
poOqTlUDT0A,Sia,Kwilu,kwilu,sia,1.0,exact,True
fXTBfVcge4w,Vanga,Kwilu,kwilu,vanga,1.0,exact,True
S7r6j8vvjBa,Kabinda,Lomami,lomami,kabinda,1.0,exact,True
hyVNQXTLM57,Kalambayi Kaban,Lomami,lomami,kalambayi kaban,0.9375,fuzzy,True
HDHPGpYow9n,Kalonda Est,Lomami,lomami,kalonda est,1.0,exact,True
KxcxIF0z6y3,Kamana,Lomami,lomami,kamana,1.0,exact,True
gYjfhzYH5ra,Luputa,Lomami,lomami,luputa,1.0,exact,True
x0EmG1LRyjy,Makota,Lomami,lomami,makota,1.0,exact,True
yft32K4WOYZ,Mweneditu,Lomami,lomami,mweneditu,1.0,exact,True
gMiVopcM4An,Wikong,Lomami,lomami,wikong,1.0,exact,True
cw1CZyDiPyA,Bunkeya,Lualaba,lualaba,bunkeya,,,False
mSQE0BqfXOy,Dilala,Lualaba,lualaba,dilala,,,False
eWGgthNBOZ8,Fungurume,Lualaba,lualaba,fungurume,,,False
yAdgorGUtcE,Kanzenze,Lualaba,lualaba,kanzenze,,,False
qdhfi48INZJ,Kapanga,Lualaba,lualaba,kapanga,,,False
goYHUDWT3jn,Lubudi,Lualaba,lualaba,lubudi,,,False
xMdqjEKgZLw,Manika,Lualaba,lualaba,manika,,,False
S0Ne5rWQhxw,Mutshatsha,Lualaba,lualaba,mutshatsha,,,False
Vf0Hzcf5ux3,Banzow Moke,Maindombe,maindombe,banzow moke,,,False
